Title_of_the_Review,Review_of_the_movie
Tony Leung upgrades it to another level! Actions are good.,"I am not interested in popcorn movies at all. However, when I knew that Tony Leung is one of the main cast. I gave my last chance to Marvel.

The fight scenes mix with styles from Ip Man, Kung-Fu...., this movie reached 80% of the standard. Especially for the fight between Wen-Wu and his wife.(Which is shown in the trailer)

Also the plot is better than normal MCU movies. At least there is a all-round character description for Shang-Chi and other role players. Fair performance from every actor. However, Tony Leung(Wen-Hu) shown why he is the best actor of Cannes. Every move, eye-contact, voice is well-designed. He creates WenWu himself. (It has to give credit to the director also) He shown the reason why WenWu did those bad things.

After all, Shang-Chi is a superhero movie. Description would not be detailed as the movie which Tony Leung casted normally. However, as one of the Tony's fan. It is a breakthrough for him. He seemed enjoyed from the interviews. Hope can see the background of WenWu in another movie."
Absolutely Awesome 😎!!,"Totally different from usual super hero movies.

Just great and awesome."
A beautiful fantasy treat.,
A real masterpiece,"Great action, great sci-fi, great scenario Another wonderful movie just has been added to the MCU."
Very awesome 😍,Very good movie and one of the amazing marvel series keep going 💪🏼💪🏼😍
well done!,"Very enjoyable! Visuals and action sequences were amazing, storytelling was well done."
Ya,
VERY GOOD!,"In short, you will enjoy it. In long, well you should go and see it yourself as there are a lot to talk about :) I first thought the dragon might make me not like the movie. I was wrong! I am usually not a fan of dragon but I liked this one (or I can say didn't hate it). I hope you have fun too :)"
A fantastic film 9/10,As someone who loves martial arts movies I think that Shang-Chi was a beautiful homage to the classics while also introducing a newer take with its ties to Marvel as well as including modern Asian American experiences. Personally it is one of my top Marvel movies!
Exceeds expectations!,"I did not have high expectations for this movie. Like many, I wasn't familiar with this hero going in.

That being said, the choreography in action scenes was PHENOMENAL. Definitely the highlight of the film for me.

If you're a fan of film, you will enjoy this beautiful movie."
The best marvel movie (and better than any marvel show) since endgame,My boyfriend and I saw Shang-Chi during the in the late afternoon (3pm to be exact) so we missed all the rush. Anyways this movie is really the best since I saw endgame back in 2019. The story is great and the special effect/cgi is amazing. It is a bit hard to follow at times since there's so much going on in the scene. I highly recommend this movie for any marvel fans out there!
Great movie easy marvel film to follow for many,"Epic fight scenes without too much visually clutter like most marvel movies great actors funny moments impressive characters and backstories

And the best part,Wong."
Shang Chi And The Legend Of The Ten Rings - A decent flick from MCU but not as great as expected...,"Shang Chi is a visual treat.. It has great acting, great visual effects but it lacks on screenplay in the 2nd half.. The 1st half was so good, I was enjoying the movie very very much with great martial arts and comic timing from Awkwafina.. The bus fight scene was just amazing!!! So good!! After the 1st half is done.. the movie went downhill.. It could have been better but still it was decent.. Anyways Shang Chi And The Legend Of Ten Rings serves the purpose of entertainment and we can say that Marvel Studios never disappoint us with their movies..

7.7/10 ⭐"
Too much of everything,"This movie doesn't really know what it is supposed to be. A Drama? A Fantasy flick? A Superhero Movie? A Bromance? A Comedy? It tries way too hard to appeal to every possible viewer. That is why it achieves nothing. It started well with some really awesome martial arts scenes, but then the story got more and more confusing. There were more holes in the plot than in Swiss cheese. For instance, a 14-year old trained assassin apparently got bullied at school - really?? And WHY was this guy who played a British actor even in the plot? The moment he showed up was the moment I was done with that movie. And then there were the over-the-top magical creatures who probably were supposed to get some ""awwws"" from the female audience. But the most disappointing thing to me was, that the more interesting and more badass sister got treated the way women typically get treated in Hollywood: she got totally ignored. Why did the male hero get all the rings? She did deserve at least half of them. It's male storytelling at its finest. As usual."
Typical Awesome Marvel Movie,Typical Marvel Movie- Lots of Action & Laughs. I saw this in IMAX and loved it! If you are a Marvel fan you will enjoy this movie. 2 extra credits so stay until the end.
Really bad power scaling,
Marvel Asian Superhero!!!,"I Love Shang-Chi!, This is Amazing Marvel Superhero Asian Movie, The Ten Ring Reference Showing in Iron Man 1,2 and 3, Marvel One Shot & Ant-Man, Mandiri Character was Amazing has Previously on Iron Man 3, And Visual Fighting So Awesome!! (Also Including Abomination & Wong)

Rating: 9/10."
Original!!!,"From the chemistry between Simu and Awkafina to the fact that Shang chi doesn't fall far from the mandarin tree it's just such a fresh take on a ""super hero"" movie, he knows what needs to be done and he doesn't have conflict he makes a choice and acts on it they really showed a true strict upbringing that made this Character so different to other Marvel heroes who have an internal struggle and Shang makes the hard decisions! Absolutely loved it and I want to see more of their universe and that's new cuz I usually say can't wait to see them in avengers, Katy and Shang need wedding bells I've never wanted a couple more than these two."
Tony Leung makes the movie,
Enjoyable,"Good action, good fighting, good visuals. The obvious comedic relief of the movie was actually a good character, Awkwafina was very enjoyable here. In all this new Marvel movies I always wonder where are all the other super heroes and why are they not helping, but here it makes sence bc is a personal sotry, not an alien invasion or mega mobs. I rated with a 7, I think it's fare, nothing groundbreaking."
Better than expected,"I thought it was just another junk Chinese movie but it turned out to be not bad. I was surprised to see so many famous actors and actresses there. The topic and style are interesting. Remind me some other films like they borrowed from but I can't tell which ones. Some similarities but not exact copy. Then I realized it's marvel movies. Understandable. Ending is typical marvel hero thinking. Overall, not bad for a Chinese version of marvel movies."
The story is,"Kinda meh, but i like how everything reminds me of a well made kung-fu movie but with marvel's sfx budget. Still better than ant-man, but not as good as wakanda."
Good. Not great.,This is most definitely worth the watch. The action isnt over the top predictable. Its enjoyable. This even has a tie in to the Marvel Uni so this can go places.
Entertaining and fun,"I think the best way to describe this movie is The Matrix meets Kung Fu Panda

This is a great movie! The action sequences are spectacular and even though there is lot going on in them, unlike some other epic battle scenes in movies where you lose track of what's happening, these are filmed in such a way that it's really easy to follow and make out what's going. The cinematography is spot on with plenty of slow motion which is just as well because the speed these guys move is phenomenal and breath-taking at times. Bruce Lee would approve.

The acting is good all round and the characters a good and relatable to. Over all it's a visually spectacular experience and all fans of Marvel or martial arts will enjoy it."
A good origin movie,It's a good entry for this new character. It's a bit cheesy but it's fine. Has some good vfx as well. Best character is katy. She holds up many moments.7.5/10 from me. Pretty enjoyable movie.
Good time pass movie,"Compared to other MC movies this one is ok. It is hard to come up with so many heroic stories, super powers, and scripts. So with that in mind it is still a good movie. It was good to watch with family as well. Starting of the movie was little different and waiting to see how it connects to entire movie as it happens was interesting."
Blew me away!!,"I'd only just seen Spider Man: No Way Home when I decided to stay in the Marvel Universe and watch this. WOW! This blows Spider-Man and the convoluted and confusing multiverse out of the water. This was fresh, fantastic and unexpected with a bit more depth than the usual Marvel flick (most all of which I love). The acting and action/fight scenes were excellent. A great mix of family drama and some fine humor to lighten certain periods of the film. I didn't want it to end. Highly recommend! I gave it a 10 because it was a stunning watch for us even at home and because IMO it's one of the top tier MCU films."
Shang-Chi,"Great action sequences and visual effects throughout, likeable characters, especially Tony Leung as Wenwu. Definitely one of the best mcu villains. Absolutely great action and choreography, best hand to hand combat scenes in the mcu after the winter soldier. However the movie just went downhill after the first half of the movie. Definitely could have been much better. Should have been better."
Bom,"Nessa analise me baseei em 5 importantes pontos: Enredo, desenvolvimento, personagens, estética e entretenimento.

Enredo: 1/2.

Desenvolvimento: 1/2.

Estética: 2/2.

Personagens: 2/2.

Entretenimento: 2/2."
Fun!,"Sure it is over the top at times. It's a cartoony fantasy movie.

And a well-made one at that!

Not a huge fan of the last end credits scene (why does there always have to be a set-up for a new conflict), but it is what it is."
Visually Stunning!!,"Well definitely the best production by marvel following Endgame. An absolute treat to watch. The main attraction is obviously the amazing fight sequence that's up there with the best fight scenes of MCU, and also the background music is perfectly fitting to the tone and setting of the film. What many might think that the plotline does not have enough depth. But I'd beg to differ as the way they've changed the Shang Chi character, introducing his father as the wielder of the ten rings and changing the power of the rings altogether is an amazing approach itself. The merging of different components and changing the storyline from the comics has been common in the MCU but none of them is as unique as shang chi. I'd say if they brought the original shang chi from the comics, then it would've been a mediocre movie. But they made every character unique, even the villain has a backstory to which everyone can relate. The fight sequences give goosebumps everytime I watch 'em. Can't wait for the sequel!!!"
Wonderful film,"I would like to say that this is just a fantastic movie. The film has a lot of colors. An interesting and cool plot. The actors have worked out their roles to the fullest. Leaves pleasant emotions after viewing. I advise everyone for an evening in a pleasant company or family circle, 10/10."
The movie exceeded my expectations,
good,".. Suddenly, unexpectedly, and before us is one of the best creations of Marvel in its entire modern history, lasting already 14 years! A colorful, interesting, tasty, emotional, spectacular and bright spectacle should not leave anyone indifferent with a 'plus' sign, even though this character is not named...

.. By 2021, the 'Marvel' projects have reached such grandeur and scale that local producers can afford to experiment with certain characters unknown to the mass audience, but probably known to ardent fans of this huge comic book universe. 'The Eternals', 'Shan-Chi'... How many more new movie characters and new surprises are waiting for us?! Of course, it is difficult to say, however, given the frank failure of the first and the success of the second, everything is not so simple here! We will dwell on the second in more detail (for obvious reasons)!! ..

This film, which is more than 2 hours long, tells us about such magical accessories as 10 rings, which give their owner unknown power, strength and immortality. At the same time, family joy/tragedy/joy is unfolding before us with numerous rather big flashbacks to the past, where the same 10 rings play a central role, without which, as judging from the title of the tape and its viewing, we will not get anywhere! As it turned out, we are in for a bit of fantasy and mysticism, a couple of familiar characters from previous 'Marvel' projects, a certain secluded area like Wakanda (only now with an Asian tint), as well as a colorful spectacle and, in principle, a very, very high-quality film ..."
Cool,
best marvel movie ever,
Review,"Fast paced, energetic, and relentless, not particularly the genre I normally go to, or enjoy, but I loved every second of it, a visual masterpiece. Superb acting, terrific musics, but it's produced in such a magical way, it is stunning."
Very good even,"Like many Marvel films, Shang-Chi's film turned out great. The acting is just great. But the actors themselves, in my opinion, are chosen not quite correctly. In place of the main character, I wanted to see a strong, pumped-up person, and not a strong ""Pukhlyash"". But in general, if you do not find fault with the actors, then the plot of the film is done cool, even with strange moments that you do not expect at all, such as meeting with a headless animal, which additionally creates interest.

Watching a movie creates a certain tension, because it is not clear what can happen next. And this mystery in the film also gives a certain zest."
God,
Legend...,"The film ""Shang chi and the legend of the Ten Rings"" is quite dynamic, there are a lot of special effects.

The film combines science fiction, fantasy, action, adventure. I like such films, because you immediately tune in to miracles and the unreality of events.

The elements of humor in the film are also visible, there are funny moments.

The plot of the film is interesting, in my spirit, the only thing missing was a smoother transition of an ordinary fighter into a superhero, as the reincarnation happened quickly.

The film is directed by Destin Daniel Cretton. The film itself is from the USA and Australia. Marvel Studios. The film lasts more than two hours, but it looks in one breath.

The plot jumps into the past in periods, revealing the biography of the hero.

Summing up, I want to say the film was very interesting to watch and not boring. A very beautiful fairy tale movie. There was a little lack of plot revealing moments, though then it would have stretched for all three hours, if not more, but for me it would have been better to let it stretch.

Therefore , I advise you to look !"
Good,
Great film.,"I really enjoyed the soundtrack, I thought it was a beautiful mix of modern and traditional music. The film itself was very well done, the CGI and animation was great as well as the acting. The story line and origin story was very though out and was very interesting."
the movie is good,
neutral opinion,
Everyone else -,
Marvel and Asia,"Shang-Chi and the Legend of the Ten Idin of the most interesting films, telling about the adventure of an Asian-born super hero in the Marvel cinematic universe. The main character is waiting for a large number of secrets concerning his family. Together with their friends, they go in search of the truth. I advise you to watch this movie picture. She will not let you get bored during the entire session. The convulsions and dynamic scenes going back to the time of old China are very well demonstrated."
Norm,
Wow what a movie,"Hello One of the Best movies of this year I really enjoyed watching and i wish to see more of it.

Maybe the 2 and 3 of this movie please Wish you the best and the luck for more.

. Thanks keep the hard work."
The best Marvel movie yet?,"I delayed watching this for a long time, thinking it would be some cheesy, Hollywood ""chop-suey"" fiasco ... but ... wow, was I mistaken!

I should have known better, seeing that Tony Leung and Michelle Yeoh have starring roles.

I'm finding it hard to remember a Marvel movie better than this. Maybe that's a pointless exercise, since they're all very different (mostly).

Whatever, this is well worth watching. The CGI is some of the best I've seen, and it actually blends pretty well with the live action (not always the case with other movies). The fight scenes are beautifully choreographed, in the Hong Kong style (with a nod to Jackie Chan in the first half). The creature battle at the end is a masterpiece of visual effects.

The character development is fairly standard (father/son), but done do well it doesn't really matter. Simu Liu and Awkwafina are perfectly cast, and bring a well balanced comedic touch overall.

Really very impressed. My faith in Marvel has been (partially) restored."
a little predectable,"All in all it was a good Marvel movie, not a great one, but still very good and very entertaining. Shaun and Katy were a great best buds duo with some fun interactions. Ben Kingsley's reprise as the Mandarin was hysterical. He's got such range and doesn't take himself too seriously and that makes him perfect.

Great fight scenes, ok origin story, but a little predictable unfortunately.

Hopefully the next movie will get a little more attention to keeping the audience guessing at least a little.

Watch and enjoy, even if you see it coming."
Great action.,"The best thing about this film is the choreography. It. Is. Amazing. Except for that, the story is decent, characters are fine, and it's nice to see some good Asian representation. Altogether not a bad movie."
Another Acceptable MCU Film,"While I wouldn't sit for a rewatch, Shang-Chi was a fine feature film. The action sequences we're for the most part solid, highlighted by an early duel between two masters of martial arts which took great inspiration from the light and flowing fights of traditional Asian movies a la ""Crouching Tiger"". On the other end of the spectrum was the rushed and dull car escape about two-thirds the way through. Many other parts of the movie fell along a similar spectrum: our protagonist and his sister were rich and flowing characters, while their friend Katy and much of the supporting cast felt rushed and dull. Additionally, the movie spends a significant amount of time painting lore and background knowledge while skirting around essential questions, like, ""What is the function of the 10 rings?"" ""What is the prejudice between Xu Wenwu and the residents of Ta Lo,"" and ""Did Shang-Chi actually get stronger in his late training sequence?"" The writers seem to feel that a lot of things needed to happen for the movie to work, and while the rush between characters, moments and events isn't clumsy, it is rarely very satisfying."
Good Job Marvel,"While moving away from the main storyline this movie doenst feel like a quick cash grab but a full fledge story with lots of work and study behind. The universe gets even more depth when we notice the references to tradicional chinese culture even in the middle of the fight scenes its possible to notice reference to chinese dramas where we have long flight moments when the receive some kind of impact, so yeah.

Where is the second movie."
First impression,Flawless. Inspirational. Happiness. Tears. Marvel Redemption?!?!?!?! Dragons!!!!!!!! I will amend tomorrow an when in full minded review mode (sober) so yeah! Appreciation!!! Need some characters lol.
"Fun movie, but not very different from other MCU movies","I watched this with very high expectations, especially after John Campea and Robert Meyer Burnett gave it glowing reviews.

But while they felt it was amazing, it seemed like a standard MCU film to me. It was fun, but felt like a lot of other MCU films to me. I thought there would be more mythology explored, but it felt too brief to me.

Overall, a good film, but didn't feel great."
Solid film- unique for a CBM,"This is not your typical CBM (comic book movie) whilst watching I actually forgot I was watching a MCU/Marvel movie. This is more like a Bruce Lee or Crouching Tiger type film

The film's setting is unique as is the style and story. The story is quite weak at points but it keeps you entertained. The acting was great although Awkwafina's character (Kathy) does get quite irritating at times. The fight choreography is amazing as is the VFX and OST

Overall, the film caters to all audiences."
Could've been better!,"It's nice to see the colors inverted. In this movie we can see the red (good) fighting the blue (bad). The movie can have more potential in it. It's an unpopular oppinion that some of the actor's performance is poor.

We as Marvel fans have been waiting a long time for this, and it's sort of disappointing by my oppinion."
Loved it overall,"I really enjoyed this movie. The actors were really strong. I liked the fight scenes. It's about time Marvel had some martial arts with an Asian background in it. The plot was good and seemed to flow well. The humour was good. They tied it in well with some post endgame comments and hidden things in the background. I really hope they continue with this movie and possibly a new Avengers movie. The only parts I didn't like were minor and it's toward the end, but I'm not spoiling it. It is definitely worth watching though. I want to watch again."
Marvel got this one right!,"Shang-Chi is one of those movies that starts off strong and never stops entertaining you. From the beginning, I felt connected to the characters and the story made sense.

Shang-Chi had just the right amount of funny comments or jokes that you can still take it seriously, and at the right time, everyone was serious. I must admit, I had my doubts about Awkwafina when I saw her as the role of Katy, I was afraid she would crack jokes the entire move, but that's not the case. When the time was right, there was a joke, when the time came to be serious, she displayed her strong acting skills and carried her role perfectly.

Simu Liu was nothing short of perfection for me from start to finish, but to be honest, that's what I expected.

Both Tony Leung Chiu-wai and Fala Chen were incredible as well as the rest of the cast. Everyone played their part and played it well.

I feel like the movie was a great story and we took a great ride alongside the ten rings, their origin and progression of power. The father was a villain, but he had his reasons and was made to feel human.

I have no bad comments regarding this movie other than I don't want to wait a whole year to see part II."
Something to look forward to ..,"Yet to watch The Eternals and the new crop of characters into the MCU, but this is one I would definitely look forward to going forward ! Wonderful CGI apart , a comprehensive origin movie that blends well into the MCU."
"had potential, BUT....","If it was darker and more serious, it would have been fire!

I didnt like them comedy parts. Took big part of the movie, and even though i laughed, i would prefer the movie to be darker and more serious... it left me a disney vibe, kinda Mulan?

Choreography was A game... Amazing... also the last credit scene was gr8... overall - 6/ 10."
"Strong fight choreography, spoiled by middling story and way too much exposition","The fight scenes in this movie are very well choreographed, and there's some pretty good comedic moments too. It's a shame really that the rest of the film in between those scenes is either incredibly boring, an exposition dump or a mixture of the two."
Marvel does not disappoint.,
Over Rated,"All I say is that when I see a movie got 7.8/10, I expect a much more powerful story and unexpected plot twists. Even the fighting scenes were not good enough! Kongfu Panda fighting scenes are more natural :) Clothes design was awful but not as much as the story!

OMG! That was weak!!! I suggest this movie to under 13 y.o kids who like fake fights out of nowhere... Special effects were good. 👍"
STOP MAKING FUNNY MOVIES,"Funny scenes were unique in the beginning of the MCU era. Now, it is tedious and repetitive. We, as viewers and fans should demand more from those movies by posting reviews. We should seek better scripts, a decent story-no my just visual effects.

Marvel movies need a reboot. Unfortunately, this was another poor quality script. 5 stars for the visual effects..."
Seriously marvel I didn't expect this from you,"Very old boring story. Where you can predict everything. You need a new character in next movie and made this new Shang Chi character.

I am not sure why this movie got 7.5+ rating."
First misstake from Marvel,
A rough introduction.,"""You can't outrun who you really are"".

60/100

What Shang-Chi and the Legend of the Ten Rings provides, besides a really long title, would be considered an exceedingly new perspective of what the MCU can offer. It's one of those marvel movies that, despite its defects, stands out from most superhero films, something almost impossible to do these days...

Marvel has a reputation of creating great origin stories for its characters, at least establish the basics of them, orderly making the audience sympathize with them. Shang-Chi is no exception. It establishes the future role of this character and its importance on the MCU, but a deeper analysis into his past must be needed in order to make him go through the good ol' hero's journey, something that the movie tried to accomplish, but was left incomplete while trying to prioritize some plot points.

That's another thing with this film: a sense of incompletion. It tries to set up so many aspects and characters that, it forgets to conclude anything :/. The final act doesn't help either; having some of the most horrible looking CGI I've ever seen in a Marvel proyect and tiktok-worthy green screen effects.

Maybe the character of Shang-Chi will leave me a better taste in my mouth as we see more of him in the future but, right now, it feels like a bumpy start to the introduction of a promising character.

Also, the funny tones hit surprisingly well..... huh, who would've thought I would say that about a Marvel film...."
Glad to see asian heroes and actors sadly in a lackluster story,"The fights are good if you are a fan of the old kung fu movies, the story is pretty flat and basic the character development and motivations are very simple and boring, if it was 20 years ago and with no MCU it would have been fine, but there are so many better superhero movies, keep making diverse movies I would also like to see a sequel just make it good, make me care about the great action. The characters are underdeveloped and the story is just basic and overdone, they could have a great family conflict if they only made the villain more complicated and could have saved the whole ending."
One Word for This Action Adventure Amazing!,"I watched it at home today and I felt that why did I miss it on Theatres. It's a amazing movie for the fans of fantasy genre. After watching this one I became a fan of fantasy genre movies. Guys go for this one, it will take you to the best magical world for an amazing roller coaster."
Razzle Dazzle....without Fu Manchu,"Decent action fantasy adventure, the asian twist give s it an uplift with over the top razzle dazzle.

However the Shang Chi storyline unfortunately is definitely not from the comics, pretty disappointed as Shang Chi is very sombre.chaacter who is at war with his father Fu Manchu who is a scheming powerful scary dude, the conflict between them is epic and forms the basis of the core of the storyline.

Dont think Shang Chi is a required not relevant chanracter in this movie, the requirement is just for an action hero, seems like Marvel ran out of ideas how to introduce Shang Chi to the audience."
Fantastic CGI & Good fight scene.,"Fantastic CGI & Good fight scenes but that where it ends.

Acting is weak and sometimes annoying, Story not catchy and some characters don't have anything to add.

Suffering like many other movies: Weak story."
Average storyline with stunning visuals,"Great VFX and cinematography but lacks in storyline. Cliche and highly predictable. One time watch. Expected a lot but ended up in disappointment . But as the first Asian superhero movie, this has done a fair job."
Shang chi and the legend of the ten rings,"This is a great movie with great fight scenes. However i didnt like the part with the mythical/mystical creature fights. The movie is kinda predictable in the manner that all marvel first films feature a villain with simmilar powers to the hero. Shang Chi has a sister and a friend and are going to meet his sister.

It is a story of family conflict and drama."
Mmmmm?,"It just missed the mark. It was certainly watchable , entertaining and enjoyable but for Marvel something wasn't right. Could have done more with Wong & Abomination . It was just a little too predictable and a certain character was almost Jar Jar Binks like but just saved in the end. Hopefully another in the future but with some more depth of character."
Shang-Chi it was made for me,"What it is is Wushu action entering Marvel Universe.

I you like martial arts classics from Asia this is a film for you. If you like action and creatures it is for you. If you like subtitles and mythology and want 2 hours of escapism go see this."
"Shang-Chi, Marvel's Black Horse","Shang-Chi is a movie that nobody expected. An exemplar with which we were not familiar that, not only knew how to exploit their low expectations to the maximum extent, but also developed a structured and dynamic narrative immersed in a MCU that does not leave much room for new heroes.

Shang-Chi made its first appearance in Steve Englehart and Jim Starlin's ""Special Marvel Edition # 15"" (December 1973). A Kung-Fu master created in the middle of the genre's boom in the US in the 1970s, Shang-Chi is quite a quirky character.

Played by Simu Liu, the protagonist is embarked on an adventure after being intercepted by ghosts from his past. Full of action, martial arts and a very own and attractive aesthetic, the film unfolds without delay. The scenes are punctual and always add something new. Even with a sense of humor that can get heavy on certain occasions (such as when Katy makes jokes in the middle of life and death situations), Shang-Chi finds its essence, exploits it and ends with a gold ribbon leaving the door open for future aftermath.

Marvel and its production team never cease to amaze me with their new films. In a difficult transition period, given the conclusion of the Infinity Saga and the beginning of this new phase, the studio keeps its feet on the ground and continues a coherent thread of its interconnected universe. Regardless of the obvious mentions to the events of ""Avengers Endgame"", Marvel returns to do what it does best: including thousands of references, cameos and winks that leave the geeks like me open-mouthed and with the greed for more.

The cast is incredible. I did not know any of the actors beforehand and they all dazzled me with their distinctive personalities and professional interpretations. The studio made a great work in synthetizing the oriental culture´s mythology and beliefs. However, it is true that Shang-Chi continues to be a westernized vision of Asian cultures due to its falls into stereotypes of martial arts and frequent characterizations of the Eastern world in Hollywood. Despite this and to my surprise, Shang-Chi knows how to combine the best of both worlds, using humor as its best tool and taking its time to tell the story, avoiding the rush to get to the action sequences that movies of this kind have suffered The protagonist's arc is round and fulfilling. It has cohesion and is true to its ideals from beginning to end. Thus, the villain (excellently played by Tony Leung) only contributes to the plot and does not fall into the corner of un-memorable Marvel villains. We send you a greeting, Fake Mandarin. If it hadn't been for the blessing acting skills of RDJ, no one would remember your existence.

Furthermore, the film interprets the concept of ""grays"" very well. In a franchise that is ""infantilized"" at times, Shang-Chi does not stutter in telling the hard truths of reality such as unsatisfactory employment, unreal family expectations, childhood trauma, the dilemma about murder, among others. Heroes are not pure white. They have their shortcomings, they fight with their demons and that makes them more credible, more human.

With a stellar sound-track, Shang-Chi is one of Marvel's most unexpected gems. It is amazing to feel and denote the love with which these films are made and the fidelity to the source materials. For example, the main character's leitmotif is a work of art and a composition that immerses us even more in the plot. Kevin Feige deserves all the praise, he is truly a man who knows how to sell his product very well and, at the same time, sell us something with great qualitative value.

After the post-credits scenes, fans only crave more and rejoice in the near future for what remains of this phase. Now with the recent release of the trailer for the new Spiderman movie, one only has to cross out the days for its premiere and admire the attention to detail that they put into the making of the films, not only as individual creations, but as a large adjoining and a special set of films. Bravo Marvel.

Postscript: I really love Benedict Wong. Is he the ultimate man?"
Top tier,
Well Done Marvel!,Movie all together is fabulous nothing is missing but last 30 minutes will make you go crazy!!
Shang chi,This movie was one of the best if not the best marvel movie so far.the acting is amazing and the fight scenes are great.
Worth a few watches,"Good film, great action, decent characters. More than worth a trip to the theater, maybe more than once."
Marvelous,"This is one of the best solo(origin) movie by Marvel.

I highly recommend you all to watch this fantastic movie only in theaters !

And Simu Liu just killed it!"
8 Rings out of 10,"For the first time in a couple of years, since 2019's ""Captain Marvel"" the MCU introduces us to a brand new hero. Simu Liu who, rather impressively, first asked for the role on Twitter brings us Shang-Chi in a film that perhaps does have some issues with it's ending, but ultimately is a fun, funny ride of the type Marvel have been perfecting for the last 13 years.

Talented, but somewhat aimless, Shaun (Simu Liu) lives in San Francisco working as a valet with his friend Katy (Awkwafina). When he's attacked on a bus, he's forced back into the world of his father, a ruthless terrorist Xu Wenwu (Tony Chiu-Wai Leung). First visiting his sister, then returning to the Ten Rings compound, Shang-Chi decides to use his skills to defend his late mothers sacred homeland against invasion from his father and for control of ten mystical arm rings, weapons that grant their owner immortality and unearthly power.

If ""Black Widow"" was considered a wobble for the MCU, despite the fact I thought that it's a perfectly fine film, then it was important to come back with something that was undeniably excellent. ""Shang-Chi"" was that. It's the perfect balance of humour and action that Marvel have established over the last few years. The action too is tweaked slightly, to more closely resemble the types of Asian led action films that we've seen previously, be that the Jackie Chan style bus fight, or the ""Crouching Tiger, Hidden Dragon""-esque flashback fight between Shang Chi's parents. There's some lovely links to the wider MCU, including a return for Benedict Wong's Wong and for Trevor Slattery, Ben Kingsley's ""Iron Man 3"" character whose masquerading role as The Mandarin was one of the MCU's most divisive moments.

It's not perfect. The ending is perhaps a little rushed and lacking a moment or two of redemption earning for Xu Wenwu, but the peaks at the future for the character, and for the 10 Rings organisation is an interesting addition, plus our first real step on what might be the route to the next big bad. Excellent stuff."
Fantastic if you don't know the comic story....,"Overall: 91/100

This is more geared towards non-Marvel people than for the Marvel people.

Quick & Dirty: I loved it and would highly recommend seeing this film in theatres. Visually stunning, fantastic fight scenes, great story, and emotionally driven. Due to one too many lulls perhaps a slight bit too long in length, but overall, very enjoyable.

When I was teen I loved watching Asian films such as ""Crouching Tiger, Hidden Dragon"", ""House of Flying Daggers"", & ""Ong-Bak"". This film had the great martial arts fighting sequences that the aforementioned films had. I felt like I was a kid again enjoying something fresh and new. I also fully enjoyed the combination of Mandarin (apologies if that's wrong) and English. A movie with subtitles always reminds me that there's more than the bubble of North American film.

The acting was great. Michelle Yeoh was the one who stole the show for me at the end of the day. Again, it reminded of the good old days of martial arts movies that depended on the actors to make things believable instead of lots of CGI.

I watch virtually zero Marvel movies and so if you're iffy on whether to watch this or not it shouldn't stop you from enjoying this film. It's funny, action packed, and does not appear to be culturally inappropriate. The acting is great and the length of the film, while a little long, is still exceptional.

PS... there are two after the credits scenes so make sure you have time sit until the very end.

Enjoy the show!"
A Marvel for the whole family.,"""The US government was almost toppled by a pretender named after an orange."" Wenwu (Tony Leung)

This quote is typical of the light-hearted but also serious addition to the MCU that is Shang-Chi and the Legend of the Ten Rings. Although Marvel has always been less serious than DC, this time it leaves Superman and Batman to cry in their capes. Sweet superhero Sean/Shang-Chi (Simu Liu) has more humanity than almost any other hero, and he uses his martial arts only when pressed.

The opening sequence on a bus (you can see the bad coming from other cinematic bus rides such as in Nobody) is rousing and entertaining. It has a fight sequence I laughed through because of its ballet-like composition but satisfying because it sets up character and motivation.

When things get heavy, and they do because Sean must confront and potentially kill his 1000-year-old mobster dad, Wenwu, Awkwafina's Katy, Sean's girlfriend, is there with amusing one-liners throughout the adventure, right down to a life-saving shot in the big ending battle scene.

Director Destin Daniel Cretton deftly orchestrates his fights and his characters' lines with the authority of a much more seasoned filmmaker. He never loses sight of the central motif-the affirmation of family primacy, so that the potential chaos of a giant cast and multiple plot strands hosts a unity glued by character and dialogue.

Shang-Chi is a Marvel for the whole family and especially the cinephiles curious how The Marvel Cinematic Universe can be so diverse, so entertaining, and so perfect a purveyor of our heroic fantasies."
Gorgeous sceneries and beautiful choreography,I've seen this twice and going for a third time this weekend. The fight scenes are *chefs kiss*. You're living under a rock if you haven't seen this film yet!
Amazing,Amazing. My favorite marvel movie so far. Great choreography and acting. Perfect cast and non stop fun.
The Best Fight Club,"Shang-Chi is hands-down the best Asian representation film. It took a while for Marvel to make a martial arts film, and they certainly couldn't have done better by roping in Destin Daniel Cretton for his character-driven directing repertoire and Tony Leung - the master of Asian cinema - for his first English language role. The fight choreography is the highlight of the movie, while the newish cast - Simu Liu, Awkwafina and Me'gher Chang deliver memorable performances playing their action hero roles with a touch of humour. The film's climax - with dragons and monsters - feels somewhat cheesy after its brilliant first half, but hey it wouldn't be a Marvel movie without CGI monsters. Overall, Shang-Chi is a fun movie for multiple repeated viewings."
